id;protocolo;titulo;conteudo;interacao;data;prorrogado;orgao;atendimento;situacao;uf;municipio;poder;esfera;pasta_anexos;nome_anexos
;020617L0843E;Câmara Legislativa do Distrito Federal;Bom dia, gostaria de ter acesso aos atos da Comissão Interna da Casa a respeito do próximo Concurso da CLDF, especificamente o projeto básico estabelecido pela comissão interna da Casa.;Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L0843E;Câmara Legislativa do Distrito Federal;Em atenção a seu pedido, informamos que como ainda não houve aprovação pela Mesa Diretora do relatório final elaborado pela Comissão, a documentação solicitada ainda não está liberada.;Resposta do Pedido;2017-06-09;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1244E;Câmara Legislativa do Distrito Federal;"Bom Dia Gostaria de saber quantos cargos de CONSULTOR TÉCNICO LEGISLATIVO – CATEGORIA: ASSISTENTE SOCIAL existem na casa, e quantos estão vagos.

Este cargo está passível de preenchimento no concurso previsto em 2017?

";Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1244E;Câmara Legislativa do Distrito Federal;"Em atenção ao seu pedido, informamos que existem 7 vagas para o cargo de Consultora Técnico-Legislativo/Assistente Social, sendo que desses 3 não estão ocupadas.

A Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação da Mesa Diretora.

Dessa forma, solicitamos aguardar a aprovação do relatório quando será divulgada a relação oficial de vagas que deve contemplar o cargo em questão.

";Resposta do Pedido;2017-06-12;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1359E;Câmara Legislativa do Distrito Federal;Gostaria de receber e-mail sobre o concurso;Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1359E;Câmara Legislativa do Distrito Federal;"Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação da Mesa Diretora.
Dessa forma, para o momento em relação às áreas contempladas, solicitamos aguardar a aprovação do relatório quando será divulgada a relação oficial de vagas.";Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1427E;Câmara Legislativa do Distrito Federal;Poderiam por gentileza me informar quais os cargos que irão abrir vagas para o próximo concurso?;Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1427E;Câmara Legislativa do Distrito Federal;"Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação da Mesa Diretora.

Dessa forma, para o momento em relação às áreas contempladas, solicitamos aguardar a aprovação do relatório quando será divulgada a relação oficial de vagas.

";Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1659E;Câmara Legislativa do Distrito Federal;"Prezados Senhores,
Solicito a V.Sas. informar:
A) QUAIS EMPRESAS estão participando do processo seletivo para prestação de serviço de realização de concurso para seleção de servidores?
B) QUAL O NÚMERO DA LICITAÇÃO?
Conforme informado no notícia na data de ontem.
Grato

";Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L1659E;Câmara Legislativa do Distrito Federal;"Prezado(a) Senhor(a),
Em atenção ao seu pedido, informamos que a CLDF recebeu propostas das seguintes bancas: CESPE-CEBRASPE, FGV, IADES e Quadrix.
Como a contratação se dará por dispensa de licitação, haja vista que não haverá custos para a CLDF,  não há licitação em curso, mas apenas análise da capacidade técnica das bancas.
";Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030317M1741E;Câmara Legislativa do Distrito Federal;Quero saber sobre a Norma que libera o uso da faixa exclusiva a todos os veículos fora do horário de pico, se está valendo ou se o GDF recorreu e anulou a Lei?;Pedido;2017-03-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030317M1741E;Câmara Legislativa do Distrito Federal;"Trata-se da lei ordinária nº 5751/2016. A lei citada está em vigor. Há  no TJDFT a ADI 4843-6/2017, entretanto ainda não foi julgada.
A lei pode ser consultada em nosso portal www.cl.df.gov.br em Atividades Legislativas/Leis e também encaminho anexo. Anexo demanda 030317M1741E";Resposta do Pedido;2017-03-09;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;Assembleia Legislativa do DF/;Demanda 030317M1741E.doc
;030417KE1232E;Câmara Legislativa do Distrito Federal;Como faço para obter a gratuidade de passe livre para desempregado?;Pedido;2017-04-03;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030417KE1232E;Câmara Legislativa do Distrito Federal;Entramos em contato com o Setor de Biblioteca, e  nos informou que não foi localizado nenhum ato normativo sobre o assunto. Entretanto, o PL 704/2015 trata do tema e sua tramitação pode ser acompanhada no http://legislacao.cl.df.gov.br/Legislacao/consultaProposicao-1!704!2015!visualizar.action. Maiores informações no setor de biblioteca no telefone: (61) 3348-9230 ou pelo E-mai: atendimento.biblioteca@cl.df.gov.br;Resposta do Pedido;2017-04-11;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030417M1522E;Câmara Legislativa do Distrito Federal;"Boa tarde, 

À título de informações para pesquisa acadêmica, gostaria de solicitar os préstimos da CLDF para a disponibilização de dados referentes à área de Documentação e Informação desta Casa Legislativa. 

1 - Existe na CLDF cargo para profissionais com formação de Bacharel em Arquivologia, qual o é a denominação do cargo?

2- Caso exista, qual o quantitativo total definido em instrumento jurídico (leis, regimentos, etc)? 

3 - Do quantitativo total, quantos cargos estão ocupados e quantos estão disponíveis?

4 - Existe uma área responsável pela gestão documental na CLDF?

5 - Caso exista, a área é chefiada por bacharel em Arquivologia?

6 - Existe uma Programa de Gestão Documental na CLDF?

7 - Qual o quantitativo de servidores efetivos (concursados) na área?

8 - A CLDF acredita que o quantitativo atual de servidores  é suficiente para o tratamento da documentação, de acordo com  as leis, recomendações e resoluções emanadas pelas diversas instâncias da Política Nacional de Arquivos?

Desde já agradeço, e me comprometo a não divulgar as informações fornecidas em instrumentos que não se refiram ao âmbito da minha pesquisa acadêmica.

";Pedido;2017-04-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030417M1522E;Câmara Legislativa do Distrito Federal;Encaminhamos, em anexo, a resposta da Divisão de Informação e Documentação Legislativa ao Memorando nº 70/2017-OUV. Anexo Demanda 030417M1522E;Resposta do Pedido;2017-06-13;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030417M1636E;Câmara Legislativa do Distrito Federal;"Em contato telefônico com a Ouvidoria desta Câmara em fevereiro deste ano fui informada que para informações a respeito de Processo Seletivo de Estágio deveria entrar em contato com o Ciee.

Ocorre que em contato com o CIEE recebi a orientações de buscar novamente informações na CLDF, pois apesar de ser o Centro de Integração Empresa Escola o responsável pela seleção, seria a CLDF quem encaminharia os candidatos.

Assim, por ter interesse em participar do próximo processo seletivo, solicito informações de como mesmo funciona ou o contato do detentor da informação para que o mesmo possa me esclarecer.

";Pedido;2017-04-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030417M1636E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, informamos que no momento não há vagas para realização de estágio nesta Casa. Pedimos reiterar solicitação a partir do mês de julho junto à Diretoria de Recursos Humanos da CLDF.;Resposta do Pedido;2017-05-24;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030517L1349E;Câmara Legislativa do Distrito Federal;"Liguei para o número que está no site, mas não atendem.
Sou novata em concurso e minhas perguntas são breves e básicas";Pedido;2017-05-03;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030517L1349E;Câmara Legislativa do Distrito Federal;Informo que nosso Setor de Recursos Humanos é a área competente para responder sobre concurso da CLDF, de forma que sempre que a senhora pode procurá-los diretamente - até para que haja a agilidade e a compreensão do assunto. Contatos são 3348-8518 e 3348-8523. Também pode nos enviara outro e-mail constando as perguntas que a senhora deseja esclarecimento. Qualquer outra dúvida por favor entre em contato com está ouvidoria.;Resposta do Pedido;2017-05-10;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030517L1909E;Câmara Legislativa do Distrito Federal;"Gostaria de saber a Câmara Legislativa do Distrito Federal possui os seguintes mecanismos de participação na sua instituição: 
1) audiência pública regionalizada (se as audiências públicas são realizadas no interior do estado)
2) audiência pública interativa (se é possível os cidadãos enviarem perguntas via internet para o presidente da comissão)
3) consulta pública online
4) fórum digitais de discussão
5) sondagem de opinião/ enquetes
6) envio de proposição legislativa por parte de um cidadão individual
7) Eventos institucionais (fórum técnico, seminário legislativo)

";Pedido;2017-05-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030517L1909E;Câmara Legislativa do Distrito Federal;"Em atenção aos questionamentos do Senhor, informamos abaixo:                                                                              1) Audiência pública regionalizada (se as audiências públicas são realizadas no interior do estado)? A Câmara Legislativa realiza Audiências Públicas na Sede da CLDF e também nas Cidades Satélites do Distrito Federal. Para maiores informações consulte o site:  www.cl.df.gov - Portal CLDF – Leis distritais e federais – Regimento Interno, artigos 239 a 242. 
2) Audiência pública interativa (se é possível os cidadãos enviarem perguntas via internet para o presidente da comissão)? Não, a CLDF ainda não possui este recurso.
3) Consulta pública online? Sim, através do site: www.cl.df.gov  - Portal CLDF – Leis distritais e federais e PROJETOS e outras proposições.
- Leis Distritais:
Contém Lei Orgânica, emendas à Lei Orgânica, leis complementares, leis ordinárias, decretos legislativos e resoluções. Lei Orgânica, Regimento Interno, Código de Ética e Decoro Parlamentar, Regime Jurídico dos Servidores Públicos Civis do DF, Normas Gerais para Concurso Público no DF, Atos Administrativos e Pesquisas Legislativas Biblioteca Paulo Bertran.
- Projetos e outras proposições:
Contém Projeto de Lei, Projeto de Lei Complementar, Proposta de Emenda à Lei Orgânica, Projeto de Decreto Legislativo, Projeto de Resolução, Indicação, Moção, recurso e Requerimento.
4) Fórum digitais de discussão? Não, a CLDF ainda não possui este recurso.
5) Sondagem de opinião/enquetes? Sim, através do site:  www.cl.df.gov  - Portal CLDF- participe – enquentes. Quanto a opinião vá em: Portal CLDF- participe – ouvidoria – envie sua manifestação.
6) Envio de proposição legislativa por parte de um cidadão individual? O Senhor Poderá solicitar a um Deputado para que este acate sua sugestão e também através de  iniciativa popular, conforme o art. 236 do Regimento Interno da CLDF e na Lei Orgânica do DF - artigos 70 e 71 onde o art. 71 Subseção III, que também está no portal da CLDF.  Art. 76. A iniciativa popular pode ser exercida pela apresentação à Câmara Legislativa de emenda à Lei Orgânica, na forma do art. 70, III, ou de projeto de lei devidamente articulado, justificado e subscrito por, no mínimo, um por cento do eleitorado do Distrito Federal, distribuído por três zonas eleitorais, assegurada a defesa do projeto por representantes dos respectivos autores perante as comissões nas quais tramitar”.
7) Eventos institucionais (fórum técnico, seminário legislativo)? A CLDF realiza Audiências Públicas, Comissões Gerais, Câmara em movimento e também pode ser consultado os eventos e agenda pelo site: www.cl.df.gov  - Portal CLDF- participe – Agenda
";Resposta do Pedido;2017-05-12;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L0817E;Câmara Legislativa do Distrito Federal;"Prezados, Gostaria de saber quantos cargos, no total, existem para bibliotecários na CLDF e quantos estão vagos.



";Pedido;2017-06-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L0817E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, informamos que atualmente existem o total de 9 cargos de Consultor Técnico-Legislativo/Bibliotecário, sendo que desses 6 estão vagos.;Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L1448E;Câmara Legislativa do Distrito Federal;"Gostaria de saber qual o tempo mínimo um Consultor chega ao final de carreira? Uma vez que, lendo a Lei de Remuneração da CLDF não entendi se tem como haver mais de uma progressão dentro de um ano ou se, independente de ser por mérito ou por tempo, só se progride a cada 12 meses.

Desde já, agradeço, pois essa resposta será importante em relação a minha decisão de estudar para tal concurso.
";Pedido;2017-06-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L1448E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, informamos que atualmente um servidor do cargo de Consultor chega ao final da carreira em 23 anos.;Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L1837E;Câmara Legislativa do Distrito Federal;"Sou servidor público concursado da área de gestão governamental.
Ao saber que se aproxima outro concurso da CLDF, procurei o último edital. Fiquei surpreso ao descobrir que não há um cargo de Consultor em Gestão Pública, assunto tão urgente em nosso país. É aquele que pode auxiliar especialistas em temas específicos (como educação e saúde) a agregar mecanismos de gestão pública em suas áreas. Me surpreende que um órgão legislativo de porte como a CLDF não conte com tal consultoria.
Gostaria de saber se haverá tal cargo no próximo concurso.
Caso exista, como recomendação para o edital, sugeriria que verificassem o edital do Gestor Federal (especialista em políticas públicas e gestão governamental do MPOG). São disciplinas selecionadas sob medida para melhorar a administração pública. Acredito que poderiam ser utilizadas como base.
";Pedido;2017-06-03;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;030617L1837E;Câmara Legislativa do Distrito Federal;"Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação da Mesa Diretora.
Dessa forma, para o momento em relação às áreas contempladas, solicitamos aguardar a aprovação do relatório quando será divulgada a relação oficial de vagas.
";Resposta do Pedido;2017-06-20;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040417KE1205E;Câmara Legislativa do Distrito Federal;"Gostaria de saber como vai ficar com as novas regras da Aposentadoria, a situação dos professores que trabalham exclusivamente na rede particular de ensino. E também  com relação aos professores contratados em Regime  caráter temporário  ACTs   pelo estado e pagando INSS contribuição que  vem descontado no seu contra cheque. Meus questionamento para os senhores é o seguinte? 
Esse professores terão uma Aposentadoria Especial? Fico no aguardo de resposta pois o meu interesse  é também de muitos outros  docentes que se encontram na mesma situação relatada.
";Pedido;2017-04-04;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040417KE1205E;Câmara Legislativa do Distrito Federal;Entramos em contato com o Setor de Biblioteca e nos informou que a Proposta de Emenda à Constituição (PEC 287/2016), que trata sobre a reforma da Previdência, está em tramitação no Congresso Nacional e sua tramitação pode ser acompanhada pelo http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2119881. Maiores informações entrar em contato com a Câmara Federal pelo telefone: 0800 619 619 ou www.camara.gov.br.;Resposta do Pedido;2017-04-18;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040517J1300E;Câmara Legislativa do Distrito Federal;Quero mais informações sobre audiência pública sobre políticas públicas  de assistência social do DF.;Pedido;2017-05-04;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040517J1300E;Câmara Legislativa do Distrito Federal;"Informamos que no site da Câmara Legislativa do Distrito Federal possui uma agenda com todas as audiências públicas já marcadas, hora, dia, local, autores e também seu temas, localizada na página inicial do portal. Para realizar pesquisas por temas das audiências públicas pode ir no ícone “eventos” da agenda.
Para fins mais práticos, segue endereços eletrônicos da agenda: https://www.cl.df.gov.br/agenda e pesquisa de eventos:
http://www.cl.df.gov.br/agenda?p_p_id=8&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_8_struts_action=%2Fcalendar%2Fview&_8_month=4&_8_day=15&_8_year=2017&tabs1=events
Com isso esperamos que o senhor possa encontrar todas as informações sobre as audiências que tiver interesse.";Resposta do Pedido;2017-05-17;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040517KE1727E;Câmara Legislativa do Distrito Federal;Bom dia, agora com o fim da CPI da Saúde, gostaria de saber qual foi o custo total dos traballhos da comissão, uma vez que contou com viagens e consultoria de delegados. Favor detalhar todos os gastos relativos à CPI.;Pedido;2017-05-04;;Câmara Legislativa do Distrito Federal;Não Classificado;Finalizado;DF;;Legislativo;Estadual;;
;040517KE1727E;Câmara Legislativa do Distrito Federal;"Encaminhamos sua demanda para CPI da Saúde pelo Memorando º 111/2017-OUV para que analisem e tomem as providências cabíveis. 
Para acompanhar o andamento, ligue diretamente para (61) 3348-8751 ou 3348-8670.
No que pudermos ajudar, estamos à disposição.
                                                                                                                                                                                          Em 16/05/17 - resposta do Secretário da CPI da Saúde:                                                                                                 Em resposta ao Memo 111/2017 OUV, informo que as informações foram prestadas ao interessado, Sr. xxxxxxx, via telefone em 12/05/2017, por esta Secretaria.";Resposta do Pedido;2017-05-16;;Câmara Legislativa do Distrito Federal;Não Classificado;Finalizado;DF;;Legislativo;Estadual;;
;040617L1148E;Câmara Legislativa do Distrito Federal;Solicito a tabela com todos os cargos efetivos e suas respectivas vagas desta casa;Pedido;2017-06-04;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;040617L1148E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, encaminhamos a Vossa Senhoria o quadro de vagas por cargo/categoria, observando que o detalhamento das vagas para o cargo de Consultor Legislativo somente ocorre no momento da publicação do edital. Anexo Demanda 040617L1148E;Resposta do Pedido;2017-06-13;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;Assembleia Legislativa do DF/;Demanda 040617L1148E.pdf
;050417KE1759E;Câmara Legislativa do Distrito Federal;Solicito, por gentileza, a minuta de parecer elaborado pela Assessoria Legislativa no âmbito da Comissão de Defesa do Consumidor - CDC sobre o PL 1483/2017, que dispõe sobre a responsabilidade por dano, na prestação indevida de serviços de telefonia móvel e fixa no âmbito do Distrito Federal.;Pedido;2017-04-05;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;050417KE1759E;Câmara Legislativa do Distrito Federal;Segue, em anexo, como solicitado, a cópia do parecer elaborado pela Assessoria Legislativa, PL 1483/2017. Anexo Demanda 050417KE1759E;Resposta do Pedido;2017-04-19;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;Assembleia Legislativa do DF/;Demanda 050417KE1759E.pdf
;050417L1522E;Câmara Legislativa do Distrito Federal;"Nos termos da Lei nº 12.527/2011, que regulamenta o direito constitucional de acesso às informações públicas, solicito informações sobre o concurso público para provimento de cargos vagos para a Câmara Legislativa do Distrito Federal.

Gostaria de saber se há previsão para lançamento do edital do concurso e quantos cargos vagos existem para Consultor Tecnico Legislativo- Categoria psicólogo.

";Pedido;2017-04-05;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;050417L1522E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, informamos que existem 6 vagas para o cargo de Consultor Técnico-Legislativo/Psicólogo, bem como que a Comissão Organizadora do Concurso Público está concluindo os estudos para a realização do próximo concurso e permanece a previsão de lançamento do edital até o final do primeiro semestre deste ano.;Resposta do Pedido;2017-05-03;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;050417M1448E;Câmara Legislativa do Distrito Federal;Muito obrigado pela presteza,                                                                                       Ainda sobre os quadros demonstrativos.                                                                     Existe alguma agenda de publicação destas informações,                                        Mais uma vez obrigado pela atenção.;Pedido;2017-04-05;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;050417M1448E;Câmara Legislativa do Distrito Federal;Ainda em atenção à sua demanda, informamos que o Ato da Mesa Diretora nº 19/2017 disponibiliza as normas para publicação dos documentos sobre verbas indenizatória, no portal da CLDF. Segundo esse AMD, após o ressarcimento, a Divisão de Orçamento, Finanças e Contabilidade,  em até cinco dias úteis, encaminhará os documentos para a Coordenadoria de Planejamento e Elaboração Orçamentária, para divulgação no portal. Após recebimento da CPEO, a Coordenadoria de Modernização e Informática terá que,  para publicar as informações no portal da Casa, em até três dias úteis. O AMD nº 19/2017 está disponibilizado no portal no link http://www.cl.df.gov.br/atos-administrativos (atos da mesa diretora).;Resposta do Pedido;2017-04-10;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;050517J0819E;Câmara Legislativa do Distrito Federal;"
Em consonância com a Lei de Acesso à Informação, escrevo-lhes com o intuito de solicitar instruções para acessar informações concernentes à atividade legislativa  das Comissões Permanentes dessa Casa, as quais não localizei  prontamente no sítio da internet. 
Os documentos que interessam-me acessar seriam, majoritariamente, os seguintes:
-Sumários executivos de proposições (a aba no site está vazia)
-Relatórios
-Pareceres
-Votos
- Emendas
-Requerimentos
Na busca por ""Atos Administrativos"" consigo apenas acessar a ficha técnica desses documentos, não seu teor completo.
Além disso, aproveito a oportunidade para questionar se a TV da Câmara está mesmo indisponível  (tanto no acesso pela internet quanto pela TV a cabo) e se há alguma previsão de restabelecimento de seu sinal.
";Pedido;2017-05-05;;Câmara Legislativa do Distrito Federal;Não Classificado;Finalizado;DF;;Legislativo;Estadual;;
;050517J0819E;Câmara Legislativa do Distrito Federal;"A respeito da sua demanda encaminhamos para a Coordenadoria de Modernização e Informática por meio do memorando 113/2017-OUV e retornaremos assim que nos responderem. 
Em atenção ao questionamento sobre a TV Câmara, entramos em contato com a Coordenadoria de Comunicação Social que nos informou que o sinal está mesmo indisponível, pois o contrato com a prestadora de serviço expirou. O novo edital de contratação está sendo elaborado, mas não tem data prevista para o restabelecimento do sinal.       
Em 06/06/2017:                                                                                                                                                                Em atenção à sua demanda, a Coordenadoria de Modernização e Infromática - CMI encaminhou a seguinte explicação:Sobre a busca de "" Atos Administrativos"" esclarecemos
que na página http://www.cl.df.gov.br/busca-atos-administrativos, o resultado é uma
ficha técnica onde a identificação é um link para o teor completo do documento. Se,
por acaso, a pesquisa específica que a usuária fez não possui o referido link, é
provável que seja um erro de cadastro. Neste caso, solicitamos o tipo, número e ano
do documento pesquisado para completar o cadastro com o inteiro teor do
documento. Telefone de contato da CMI: 3348-8390.
Em atenção ao questionamento sobre a TV Câmara, entramos em contato com a Coordenadoria de Comunicação Social que nos informou que o sinal está mesmo indisponível, pois o contrato com a prestadora de serviço expirou. O novo edital de contratação está sendo elaborado, mas não tem data prevista para o restabelecimento do sinal. Em relação as demais informações, foi encaminhado um novo memorando 139/2017-ouv para a Divisão de Apoio a Comissões - DAC, para complementação da sua manifestação. Retornaremos assim que nos responderem.";Resposta do Pedido;2017-06-06;;Câmara Legislativa do Distrito Federal;Não Classificado;Finalizado;DF;;Legislativo;Estadual;;
;050617L1003E;Câmara Legislativa do Distrito Federal;"Gostaria de saber por qual canal posso acompanhar o andamento do processo seletivo desta nobre casa?



";Pedido;2017-06-05;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
